rank,circuit name,latitude,longitude,top speed,average speed
1,Autodromo Nazionale di Monza,45.6156,9.28111,257.32,242.0194521963823
2,Jeddah Corniche Circuit,21.6319,39.1044,244.962,238.65150000000003
3,Silverstone Circuit,52.0786,-1.01694,243.494,222.8307025000002
4,Autodromo Internazionale del Mugello,43.9975,11.3719,239.518,208.05327777777777
5,Circuit de Spa-Francorchamps,50.4372,5.97139,238.931,225.62890881458964
6,Red Bull Ring,47.2197,14.7647,236.894,222.76983796296318
7,Albert Park Grand Prix Circuit,-37.8497,144.968,236.74,213.40011411411416
8,Autodromo Enzo e Dino Ferrari,44.3439,11.7167,234.121,216.10804201680665
9,Losail International Circuit,25.49,51.4542,232.799,223.53140000000002
10,Bahrain International Circuit,26.0325,50.5106,230.214,203.27779634464758
11,Suzuka Circuit,34.8431,136.541,229.77,214.16268524590174
12,Circuit Paul Ricard,43.2506,5.79167,226.775,217.2855897435898
13,Istanbul Park,40.9517,29.405,226.693,211.73910160427826
14,Hockenheimring,49.3278,8.56583,223.182,209.70164593301453
15,Yas Marina Circuit,24.4672,54.6031,220.8,194.78410069444448
16,Circuit de Barcelona-Catalunya,41.57,2.26111,220.213,197.96238860103625
17,Autódromo José Carlos Pace,-23.7036,-46.6997,219.909,205.28231476323106
18,Sochi Autodrom,43.4057,39.9578,219.847,210.34857615894046
19,Circuit Park Zandvoort,52.3888,4.54092,215.654,204.88275
20,Circuit Gilles Villeneuve,45.5,-73.5228,214.833,201.37585498489443
21,Indianapolis Motor Speedway,39.795,-86.2347,214.366,203.15507142857138
22,Miami International Autodrome,25.9581,-80.2389,213.255,209.336
23,Shanghai International Circuit,31.3389,121.22,212.749,194.69396726190476
24,Autódromo Internacional do Algarve,37.227,-8.6267,212.708,206.2433076923077
25,Sepang International Circuit,2.76083,101.738,212.104,199.4986712328767
26,Buddh International Circuit,28.3487,77.5331,211.463,205.0554264705882
27,Circuit de Nevers Magny-Cours,46.8642,3.16361,210.669,204.3259393939395
28,Nürburgring,50.3356,6.9475,210.267,193.9982831325301
29,Baku City Circuit,40.3725,49.8533,209.795,202.19714999999997
30,Fuji Speedway,35.3717,138.927,209.456,191.8048048780488
31,Circuit of the Americas,30.1328,-97.6411,206.374,195.11676262626256
32,Hungaroring,47.5789,19.2486,205.823,187.48922997416008
33,Korean International Circuit,34.7333,126.417,202.941,190.79108695652164
34,Autódromo Hermanos Rodríguez,19.4042,-99.0907,199.223,189.6741449275363
35,Valencia Street Circuit,39.4589,-0.331667,197.687,191.5537545454546
36,Marina Bay Street Circuit,1.2914,103.864,178.86,164.90451111111116
37,Circuit de Monaco,43.7347,7.42056,164.769,153.31144324324322
